++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
ASCII Report
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

NAME: AOT-SL-130_1-0-Centroid
TYPE: MSD
------------------------------
Integrated Chromatogram Area: 30827695828.59
Integrated Background Area: 32672095663.0738
Integrated Peak Area: 2307027.48884


PEAK LIST OVERVIEW
------------------------------
[#]	RT (Min)	RI	Start RT (Min)	Stop RT (Min)	Tailing	Width (at 50% peak height by inflection points)	Integrated Area	S/N	Leading	Tailing	Scan #	Purity	Integrator	Detector	Model	m/z ...
[10]	87.0	314.8069
[10]	29.0	0.0
[10]	95.0	400.04695
[10]	32.0	0.0
[10]	96.0	501.75374
[10]	98.0	1136.21069
[10]	99.0	404.89012
[10]	100.0	342.89732
[10]	39.0	11846.42485
[10]	41.0	4229.06733
[10]	42.0	11320.45549
[10]	43.0	31511.68397
[10]	44.0	28032.33954
[10]	110.0	412.6392
[10]	112.0	895.98884
[10]	53.0	14904.41121
[10]	54.0	645.11197
[10]	55.0	39960.13523
[10]	56.0	56317.49817
[10]	57.0	52187.22799
[10]	58.0	22638.97488
[10]	60.0	332.24233
[11]	67.0	305.96245
[11]	197.0	381.90794
[11]	69.0	557.41847
[11]	70.0	279.79935
[11]	71.0	128.27165
[11]	72.0	118.09714
[11]	73.0	357.56176
[11]	81.0	378.63755
[11]	82.0	309.59617
[11]	83.0	124.63789
[11]	84.0	133.3589
[11]	85.0	190.77228
[11]	86.0	468.39136
[11]	87.0	210.75796
[11]	29.0	0.0
[11]	95.0	202.03692
[11]	32.0	0.0
[11]	96.0	324.49458
[11]	98.0	215.48183
[11]	99.0	368.46305
[11]	100.0	176.60062
[11]	39.0	150.07419
[11]	41.0	242.73503
[11]	42.0	167.87963
[11]	43.0	297.96814
[11]	44.0	268.89806
[11]	110.0	356.47161
[11]	112.0	209.30446
[11]	53.0	125.72802
[11]	54.0	229.29014
[11]	55.0	200.22006
[11]	56.0	174.42038
[11]	57.0	111.193
[11]	58.0	188.95539
[11]	60.0	155.16147
[12]	67.0	363.86171
[12]	197.0	304.87697
[12]	69.0	246.62966
[12]	70.0	494.36531
[12]	71.0	266.90561
[12]	72.0	273.17273
[12]	73.0	146.72437
[12]	81.0	248.47289
[12]	82.0	171.05554
[12]	83.0	301.19048
[12]	84.0	406.62555
[12]	85.0	162.94514
[12]	86.0	103.22317
[12]	87.0	195.38673
[12]	29.0	0.0
[12]	95.0	226.7223
[12]	32.0	0.0
[12]	96.0	119.0753
[12]	98.0	416.5792
[12]	99.0	428.00752
[12]	100.0	204.97171
[12]	39.0	227.09097
[12]	41.0	703.02355
[12]	42.0	420.26579
[12]	43.0	141.56321
[12]	44.0	305.61434
[12]	110.0	145.98707
[12]	112.0	293.08009
[12]	53.0	174.00478
[12]	54.0	80.73527
[12]	55.0	268.0116
[12]	56.0	179.90324
[12]	57.0	121.28723
[12]	58.0	101.74855
[12]	60.0	213.45075
[13]	67.0	1251.27494
[13]	197.0	526.33765
[13]	69.0	393.28575
[13]	70.0	498.94462
[13]	71.0	867.77228
[13]	72.0	645.69309
[13]	73.0	2644.40638
[13]	81.0	1102.56982
[13]	82.0	2329.38654
[13]	83.0	3581.63984
[13]	84.0	631.01823
[13]	85.0	1150.50765
[13]	86.0	3737.19305
[13]	87.0	1340.30223
[13]	29.0	0.0
[13]	95.0	316.97658
[13]	32.0	0.0
[13]	96.0	327.73813
[13]	98.0	444.15861
[13]	99.0	1726.73976
[13]	100.0	1016.47746
[13]	39.0	2533.85593
[13]	41.0	2571.03237
[13]	42.0	1169.09574
[13]	43.0	676.99941
[13]	44.0	458.83341
[13]	110.0	621.235
[13]	112.0	189005.1199
[13]	53.0	14905.72768
[13]	54.0	6645.74664
[13]	55.0	8395.96665
[13]	56.0	349.26122
[13]	57.0	7209.26079
[13]	58.0	1380.41348
[13]	60.0	706.34907
[14]	67.0	994.48945
[14]	197.0	374.62324
[14]	69.0	918.21317
[14]	70.0	9990.27428
[14]	71.0	17219.15091
[14]	72.0	16616.66458
[14]	73.0	4906.7919
[14]	81.0	346.62307
[14]	82.0	481.79638
[14]	83.0	752.14304
[14]	84.0	7483.77541
[14]	85.0	15315.13837
[14]	86.0	39519.85588
[14]	87.0	18647.16283
[14]	29.0	0.0
[14]	95.0	281.93295
[14]	32.0	0.0
[14]	96.0	937.52361
[14]	98.0	2375.18875
[14]	99.0	6543.3554
[14]	100.0	223.03603
[14]	39.0	10596.62353
[14]	41.0	14365.06324
[14]	42.0	1663.59751
[14]	43.0	41211.45235
[14]	44.0	63983.33196
[14]	110.0	523.31387
[14]	112.0	497.24473
[14]	53.0	536.83127
[14]	54.0	751.17755
[14]	55.0	8883.78445
[14]	56.0	18549.64306
[14]	57.0	64272.02644
[14]	58.0	67951.63342
[14]	60.0	431.58912
[15]	67.0	272.26128
[15]	197.0	494.67188
[15]	69.0	667.87095
[15]	70.0	786.74559
[15]	71.0	591.17763
[15]	72.0	709.41315
[15]	73.0	704.30025
[15]	81.0	223.04971
[15]	82.0	196.84616
[15]	83.0	1163.18194
[15]	84.0	1032.8033
[15]	85.0	432.67808
[15]	86.0	189.17685
[15]	87.0	451.85144
[15]	29.0	0.0
[15]	95.0	345.75901
[15]	32.0	0.0
[15]	96.0	439.06922
[15]	98.0	1138.25664
[15]	99.0	331.69856
[15]	100.0	416.70033
[15]	39.0	554.10922
[15]	41.0	966.33575
[15]	42.0	651.89315
[15]	43.0	1613.11596
[15]	44.0	718.36066
[15]	110.0	453.12967
[15]	112.0	292.07373
[15]	53.0	214.74128
[15]	54.0	479.33324
[15]	55.0	3324.01581
[15]	56.0	2341.06327
[15]	57.0	1728.15604
[15]	58.0	1804.21016
[15]	60.0	577.75633
[16]	67.0	271.86224
[16]	197.0	225.10885
[16]	69.0	233.07424
[16]	70.0	135.75795
[16]	71.0	194.63257
[16]	72.0	200.86635
[16]	73.0	192.20833
[16]	81.0	215.41185
[16]	82.0	132.98739
[16]	83.0	303.72382
[16]	84.0	205.02222
[16]	85.0	243.11757
[16]	86.0	300.60692
[16]	87.0	412.81502
[16]	29.0	0.0
[16]	95.0	179.39445
[16]	32.0	0.0
[16]	96.0	546.49501
[16]	98.0	199.13476
[16]	99.0	203.63694
[16]	100.0	418.00978
[16]	39.0	139.56749
[16]	41.0	436.71118
[16]	42.0	94.54572
[16]	43.0	153.76666
[16]	44.0	162.07838
[16]	110.0	109.43753
[16]	112.0	212.29495
[16]	53.0	353.59408
[16]	54.0	389.95781
[16]	55.0	421.81939
[16]	56.0	127.44624
[16]	57.0	153.42033
[16]	58.0	132.64106
[16]	60.0	137.14324
[17]	67.0	323.84394
[17]	197.0	259.82285
[17]	69.0	436.46499
[17]	70.0	547.68416
[17]	71.0	138.32295
[17]	72.0	146.73448
[17]	73.0	234.58827
[17]	81.0	179.91331
[17]	82.0	356.08814
[17]	83.0	247.20553
[17]	84.0	190.19407
[17]	85.0	247.67285
[17]	86.0	207.95173
[17]	87.0	220.56903
[17]	29.0	0.0
[17]	95.0	263.09401
[17]	32.0	0.0
[17]	96.0	176.64214
[17]	98.0	584.13409
[17]	99.0	280.8517
[17]	100.0	309.82473
[17]	39.0	620.58403
[17]	41.0	349.07851
[17]	42.0	531.32837
[17]	43.0	254.21516
[17]	44.0	522.44956
[17]	110.0	326.18048
[17]	112.0	200.94214
[17]	53.0	245.80362
[17]	54.0	203.27865
[17]	55.0	366.83621
[17]	56.0	300.9459
[17]	57.0	280.8517
[17]	58.0	241.59788
[17]	60.0	361.22852
[18]	67.0	94.76045
[18]	197.0	362.00893
[18]	69.0	188.32142
[18]	70.0	118.75044
[18]	71.0	143.70002
[18]	72.0	103.39686
[18]	73.0	105.31605
[18]	81.0	145.61923
[18]	82.0	194.7987
[18]	83.0	211.3518
[18]	84.0	140.34142
[18]	85.0	156.41472
[18]	86.0	69.09116
[18]	87.0	317.86733
[18]	29.0	0.0
[18]	95.0	143.46013
[18]	32.0	0.0
[18]	96.0	210.15231
[18]	98.0	115.15194
[18]	99.0	157.61423
[18]	100.0	173.92741
[18]	39.0	154.49552
[18]	41.0	399.43328
[18]	42.0	261.49087
[18]	43.0	62.85377
[18]	44.0	134.58384
[18]	110.0	202.23559
[18]	112.0	186.40219
[18]	53.0	146.09903
[18]	54.0	78.92706
[18]	55.0	162.17232
[18]	56.0	115.63175
[18]	57.0	102.67716
[18]	58.0	198.87701
[18]	60.0	181.12441
[19]	67.0	376.39699
[19]	197.0	157.00255
[19]	69.0	1271.87398
[19]	70.0	608.57667
[19]	71.0	245.47629
[19]	72.0	346.73531
[19]	73.0	162.62807
[19]	81.0	154.9569
[19]	82.0	190.75553
[19]	83.0	389.69364
[19]	84.0	355.42922
[19]	85.0	253.65884
[19]	86.0	202.51793
[19]	87.0	262.35281
[19]	29.0	0.0
[19]	95.0	434.1862
[19]	32.0	0.0
[19]	96.0	492.4868
[19]	98.0	428.5607
[19]	99.0	708.30139
[19]	100.0	319.11919
[19]	39.0	375.88557
[19]	41.0	354.40639
[19]	42.0	256.21589
[19]	43.0	341.10976
[19]	44.0	364.63458
[19]	110.0	183.0844
[19]	112.0	240.36221
[19]	53.0	191.77837
[19]	54.0	291.50309
[19]	55.0	373.83996
[19]	56.0	442.36875
[19]	57.0	684.26524
[19]	58.0	682.21952
[19]	60.0	402.47883
[20]	67.0	102.60559
[20]	197.0	37.11571
[20]	69.0	106.18819
[20]	70.0	147.74631
[20]	71.0	147.02978
[20]	72.0	39.98179
[20]	73.0	85.55243
